videoId,author,text,publishedAt,likeCount,search_keyword,video_title,labelling
kdntbrfFoXI,@darularifin6184,Wenak itu masih bisa enak enak tapi nggak punya anak,2025-05-12T03:22:00Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
kdntbrfFoXI,@FerlianSatria,Sebentar. Bansos tu wajib dpt setiap org atau boleh milih ngambil ap gak? Klo wajib artinya vasektomi itu memaksa. Tp kalo gk ya gk usah ambil aja klo gk mau vasektomi. Kyk gt kn?,2025-05-10T02:51:02Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,2
kdntbrfFoXI,@edisantoso8550,"Tergantung dari ybs mau gaknya, gitu aja kok repot",2025-05-09T06:03:55Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,2
kdntbrfFoXI,@hjodahrosdiana8441,Program vasektomii sejak saya menjadi nakes  di desa tahun 1990 sudah digalakkan oleh pemerintah .,2025-05-10T13:34:17Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,2
kdntbrfFoXI,@trinoviepurwaningsih3065,"Tuh dokter boyke aja bilang aman, lanjutkan solusinya KDM 🔥🔥",2025-05-08T02:11:51Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
01VzjUUJjkk,@taufikhidayah1787,Kenapa ya Rakyat kecil selalu jadi kambing hitam permasalahan di negeri ini 😭,2025-05-07T15:26:57Z,0,vasektomi dedi mulyadi,"Tanggapi Rencana KB Vasektomi Dedi Mulyadi, MUI: Haram | Kabar Petang tvOne",3
kdntbrfFoXI,@dedisetiawan3688,ini orang HAM gada lagi? KERJA WOI dahmah belet nongol mulu.,2025-05-08T07:39:17Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,3
01VzjUUJjkk,@adisuwito6686,"MUI udah bener tidur,sekali gerak malah jegal peraturan yg baik untuk rakyat",2025-05-02T17:33:16Z,1,vasektomi dedi mulyadi,"Tanggapi Rencana KB Vasektomi Dedi Mulyadi, MUI: Haram | Kabar Petang tvOne",1
kdntbrfFoXI,@NurHayati-x2q2o,Maap buk coba bikin konten seperti kd. Biar kami rakyat tahu apa yg di lakukan ham ke  anak anak dan remana yg cuma bisa komen aja,2025-05-08T05:57:32Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,2
MX3EsyJNIAU,@serinchy333real9,Yg divasektomi tuh yg sdh pny anak.. maaallliiiiihhhh yg sdh pny anak 2 atau 3 baru divasektomi,2025-05-02T01:47:38Z,0,vasektomi dedi mulyadi,Komentar Masyarakat Soal Pernyataan Dedi Mulyadi Usulkan Vasektomi Jadi Syarat Bansos [Newsline],3
